team,billing_county,county,,state_abbr,state_name,state_fips,geo_type,county_name,county_name_full,join,GEOID
Nashville Predators,"West Baton Rouge, LA",West Baton Rouge, LA,LA,Louisiana,22,Parish,West Baton Rouge Parish,"West Baton Rouge Parish, Louisiana",West Baton Rouge Parish22,48249
Nashville Predators,"Dillon, SC",Dillon, SC,SC,South Carolina,45,County,Dillon County,"Dillon County, South Carolina",Dillon County45,19025
Nashville Predators,"Crawford, GA",Crawford, GA,GA,Georgia,13,County,Crawford County,"Crawford County, Georgia",Crawford County13,19025
Nashville Predators,"Worth, GA",Worth, GA,GA,Georgia,13,County,Worth County,"Worth County, Georgia",Worth County13,1067
Nashville Predators,"Pike, MS",Pike, MS,MS,Mississippi,28,County,Pike County,"Pike County, Mississippi",Pike County28,40111
Nashville Predators,"Heard, GA",Heard, GA,GA,Georgia,13,County,Heard County,"Heard County, Georgia",Heard County13,26021
Nashville Predators,"Harlan, KY",Harlan, KY,KY,Kentucky,21,County,Harlan County,"Harlan County, Kentucky",Harlan County21,26021
Nashville Predators,"Hamilton, FL",Hamilton, FL,FL,Florida,12,County,Hamilton County,"Hamilton County, Florida",Hamilton County12,27025
Nashville Predators,"Jenkins, GA",Jenkins, GA,GA,Georgia,13,County,Jenkins County,"Jenkins County, Georgia",Jenkins County13,47087
Nashville Predators,"Prairie, AR",Prairie, AR,AR,Arkansas,05,County,Prairie County,"Prairie County, Arkansas",Prairie County05,47059
Nashville Predators,"Webster, MS",Webster, MS,MS,Mississippi,28,County,Webster County,"Webster County, Mississippi",Webster County28,48249
Nashville Predators,"Colfax, NE",Colfax, NE,NE,Nebraska,31,County,Colfax County,"Colfax County, Nebraska",Colfax County31,19025
Nashville Predators,"Jasper, MS",Jasper, MS,MS,Mississippi,28,County,Jasper County,"Jasper County, Mississippi",Jasper County28,47087
New Jersey Devils,"Morris, NJ",Morris, NJ,NJ,New Jersey,34,County,Morris County,"Morris County, New Jersey",Morris County34,12069
New Jersey Devils,"Essex, NJ",Essex, NJ,NJ,New Jersey,34,County,Essex County,"Essex County, New Jersey",Essex County34,19025
New Jersey Devils,"Ocean, NJ",Ocean, NJ,NJ,New Jersey,34,County,Ocean County,"Ocean County, New Jersey",Ocean County34,12069
New Jersey Devils,"Sussex, NJ",Sussex, NJ,NJ,New Jersey,34,County,Sussex County,"Sussex County, New Jersey",Sussex County34,47059
New Jersey Devils,"Warren, NJ",Warren, NJ,NJ,New Jersey,34,County,Warren County,"Warren County, New Jersey",Warren County34,21219
New Jersey Devils,"Logan, AR",Logan, AR,AR,Arkansas,05,County,Logan County,"Logan County, Arkansas",Logan County05,48159
New Jersey Devils,"Webster, WV",Webster, WV,WV,West Virginia,54,County,Webster County,"Webster County, West Virginia",Webster County54,48249
New Jersey Devils,"Williamsburg, SC",Williamsburg, SC,SC,South Carolina,45,County,Williamsburg County,"Williamsburg County, South Carolina",Williamsburg County45,48249
New Jersey Devils,"Floyd, TX",Floyd, TX,TX,Texas,48,County,Floyd County,"Floyd County, Texas",Floyd County48,19025
New York Islanders,"Nassau, NY",Nassau, NY,NY,New York,36,County,Nassau County,"Nassau County, New York",Nassau County36,12069
New York Islanders,"Suffolk, NY",Suffolk, NY,NY,New York,36,County,Suffolk County,"Suffolk County, New York",Suffolk County36,47059
New York Islanders,"Hamlin, SD",Hamlin, SD,SD,South Dakota,46,County,Hamlin County,"Hamlin County, South Dakota",Hamlin County46,27025
New York Islanders,"Pike, KY",Pike, KY,KY,Kentucky,21,County,Pike County,"Pike County, Kentucky",Pike County21,40111
New York Islanders,"Russell, KS",Russell, KS,KS,Kansas,20,County,Russell County,"Russell County, Kansas",Russell County20,47059
New York Islanders,"Gonzales, TX",Gonzales, TX,TX,Texas,48,County,Gonzales County,"Gonzales County, Texas",Gonzales County48,42031
New York Islanders,"Meagher, MT",Meagher, MT,MT,Montana,30,County,Meagher County,"Meagher County, Montana",Meagher County30,12069
New York Islanders,"Delaware, OK",Delaware, OK,OK,Oklahoma,40,County,Delaware County,"Delaware County, Oklahoma",Delaware County40,19025
New York Islanders,"Live Oak, TX",Live Oak, TX,TX,Texas,48,County,Live Oak County,"Live Oak County, Texas",Live Oak County48,48159
New York Islanders,"Wayne, IA",Wayne, IA,IA,Iowa,19,County,Wayne County,"Wayne County, Iowa",Wayne County19,21219
New York Islanders,"McCurtain, OK",McCurtain, OK,OK,Oklahoma,40,County,McCurtain County,"McCurtain County, Oklahoma",McCurtain County40,12069
New York Islanders,"Montgomery, AR",Montgomery, AR,AR,Arkansas,05,County,Montgomery County,"Montgomery County, Arkansas",Montgomery County05,12069
New York Islanders,"Oglethorpe, GA",Oglethorpe, GA,GA,Georgia,13,County,Oglethorpe County,"Oglethorpe County, Georgia",Oglethorpe County13,12069
New York Islanders,"Treutlen, GA",Treutlen, GA,GA,Georgia,13,County,Treutlen County,"Treutlen County, Georgia",Treutlen County13,46007
New York Rangers,"New York, NY",New York, NY,NY,New York,36,County,New York County,"New York County, New York",New York County36,12069
New York Rangers,"Westchester, NY",Westchester, NY,NY,New York,36,County,Westchester County,"Westchester County, New York",Westchester County36,48249
New York Rangers,"Fairfield, CT",Fairfield, CT,CT,Connecticut,09,County,Fairfield County,"Fairfield County, Connecticut",Fairfield County09,19025
New York Rangers,"Queens, NY",Queens, NY,NY,New York,36,County,Queens County,"Queens County, New York",Queens County36,47059
New York Rangers,"Monmouth, NJ",Monmouth, NJ,NJ,New Jersey,34,County,Monmouth County,"Monmouth County, New Jersey",Monmouth County34,12069
New York Rangers,"Kings, NY",Kings, NY,NY,New York,36,County,Kings County,"Kings County, New York",Kings County36,48159
New York Rangers,"Richmond, NY",Richmond, NY,NY,New York,36,County,Richmond County,"Richmond County, New York",Richmond County36,47059
New York Rangers,"Bergen, NJ",Bergen, NJ,NJ,New Jersey,34,County,Bergen County,"Bergen County, New Jersey",Bergen County34,#N/A
New York Rangers,"New Haven, CT",New Haven, CT,CT,Connecticut,09,County,New Haven County,"New Haven County, Connecticut",New Haven County09,12069
New York Rangers,"Middlesex, NJ",Middlesex, NJ,NJ,New Jersey,34,County,Middlesex County,"Middlesex County, New Jersey",Middlesex County34,12069
New York Rangers,"Dutchess, NY",Dutchess, NY,NY,New York,36,County,Dutchess County,"Dutchess County, New York",Dutchess County36,19025
New York Rangers,"Orange, NY",Orange, NY,NY,New York,36,County,Orange County,"Orange County, New York",Orange County36,40111
New York Rangers,"Rockland, NY",Rockland, NY,NY,New York,36,County,Rockland County,"Rockland County, New York",Rockland County36,47059
New York Rangers,"Union, NJ",Union, NJ,NJ,New Jersey,34,County,Union County,"Union County, New Jersey",Union County34,46007
New York Rangers,"Putnam, NY",Putnam, NY,NY,New York,36,County,Putnam County,"Putnam County, New York",Putnam County36,47059
New York Rangers,"Somerset, NJ",Somerset, NJ,NJ,New Jersey,34,County,Somerset County,"Somerset County, New Jersey",Somerset County34,47059
New York Rangers,"Passaic, NJ",Passaic, NJ,NJ,New Jersey,34,County,Passaic County,"Passaic County, New Jersey",Passaic County34,40111
